pos,fltdes,dep,arr,acct,alt,alt_peak,alt_rtd,aoc,b25,baf,bbf,bbr,bbv,btmc,cas,cas_peak,cas_rtd,cg,cnt,code,dflm,dflm_peak,dfsm,dfsm_peak,dnflm,dnflm_peak,dnfsm,dnfsm_peak,dph,ecyc,egt,egt_peak,egtb,ehrs,esn,fdp,fedet,ff,ffan,ffr,fmvc,foc,focb,focvp,fvd,fvl,fvmf,fvmo,fvn1,fvn2,fvp,fvt,gle,gw,hpcbf,hpctc,joip,lpbt,lpcsp,lpcsv,lpctc,lpt,lptm,mn,mn_peak,mn_rtd,mne,mne_peak,n1,n1_peak,n1a,n1a_peak,n1c2,n1c2_peak,n1com,n1com_peak,n1max,n1max_peak,n1msa,n1p,n2a,n2a_peak,n2c5,n2p,naidp,nait,naiup,nedet,nf,nf_peak,oat,oat_peak,odm5f,odm6f,odm7f,odp,oip,oiq,oit,p25,p2e,p5,pamb,pb,ph,phm,ps14,ptmc,rfan,rvn1,rvn2,shptp,slptp,sva,t14,t2,t25,t2_peak,t3,tat,tat_peak,tat_rtd,tcc,tccoc,tec,tfuel,tla,tn,ttp,vb1,vb2,vorrc,vsva,w14,pf,wai,nai,prv,hpv,xf
1,8990.0,2,42,-20.0,1418.0,1247.0,-352.0,3.6,7.3,3.9,0.27,0.44,0.52,-30.0,166.0,163.0,130.0,18.6,1206,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,800.1,817.6,464.1,0.0,0.0,11.3,0.0,2783.0,0.05,6319.0,6355.0,7.5,0.033,0.0,0.1,0.01,0.0,0.05,0.1,0.1,0.02,0.05,26.0,6656.0,13.7,-8.2,88.0,239.6,31.5,31.1,7.4,45.96,3.4,0.257,0.251,0.195,0.188,0.249,77.94,79.12,77.95,79.12,79.53,80.94,77.99,79.23,88.02,88.71,79.26,81.11,87.63,87.95,78.73,90.02,14.7,4.0,128.8,0.0,77.92,79.25,1.6,-1.0,0.0,0.0,0.0,1.4,194.82,8.8,70.0,33.367,14.902,0.001,14.0,440.593,5,0.0,15.991,0.0,0.06,0.08,0.05,87.9,17.1,76.5,25.4,3.0,83.1,1.8,522.8,2.0,2.2,3.5,0.1,0.0,13.0,63.6,34.8,41.4,50.0,0.2,0.2,58.2,0.0,1160.0,0.53,0.0,0.0,1.0,0.0,0.0
2,8990.0,2,42,-20.0,1418.0,1247.0,-352.0,3.5,7.3,4.3,0.23,0.36,0.43,-30.0,166.0,163.0,130.0,18.6,1206,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,802.4,816.5,462.6,0.0,0.0,10.4,0.0,2775.0,0.01,6102.0,6133.0,6.4,0.025,0.0,0.05,0.02,0.01,0.05,0.0,0.0,0.01,0.03,20.0,6656.0,13.7,-8.0,86.8,249.8,31.4,30.9,8.0,3.9,2.3,0.257,0.251,0.195,0.188,0.249,78.0,79.16,78.0,79.14,79.59,80.98,77.99,79.23,88.02,88.71,79.34,81.19,87.79,88.07,78.94,90.17,14.6,3.0,127.6,0.0,78.0,79.33,1.6,-1.0,0.0,0.0,0.0,2.8,191.14,8.8,72.7,32.973,14.755,0.0,14.0,441.793,5,0.0,15.895,0.0,0.01,0.06,0.0,88.2,17.1,77.7,25.5,3.1,82.1,2.0,523.9,2.0,2.2,3.5,0.0,0.0,10.0,65.0,34.7,40.3,50.0,0.0,0.1,57.3,0.0,1160.0,0.53,0.0,0.0,1.0,0.0,0.0
1,1024.0,36,42,-20.0,2005.0,1581.0,96.0,3.5,7.3,4.1,0.25,0.29,0.39,-30.0,163.0,157.0,126.0,22.5,2813,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,851.4,885.5,498.3,4.0,0.0,12.0,0.0,3185.0,0.05,7376.0,7352.0,17.6,0.039,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.04,29.0,7304.0,13.7,-8.5,86.6,261.2,22.1,21.7,7.7,21.37,3.2,0.254,0.242,0.191,0.185,0.239,82.74,84.09,82.7,84.06,83.33,84.63,82.67,84.13,89.75,90.42,84.23,84.89,90.22,90.81,78.87,91.52,14.5,12.0,129.0,0.0,82.71,84.17,9.0,8.2,0.0,0.0,0.0,0.5,194.57,10.1,79.3,36.206,14.669,0.001,13.8,484.0,5,0.0,16.026,0.0,0.09,0.03,0.02,96.5,17.5,77.3,38.1,10.4,105.5,10.8,570.0,10.2,11.3,11.0,0.0,0.0,24.0,83.0,34.9,60.1,54.0,0.2,0.1,55.4,0.0,1179.0,0.53,0.0,0.0,1.0,0.0,0.0
2,1024.0,36,42,-20.0,2005.0,1676.0,96.0,3.4,7.3,4.5,0.27,0.37,0.45,-30.0,163.0,157.0,126.0,22.5,2813,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,854.0,885.4,498.2,4.0,0.0,10.8,0.0,3179.0,0.01,7150.0,7127.0,17.5,0.033,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.04,21.0,7304.0,13.5,-8.0,84.4,271.1,21.8,21.4,8.1,4.74,2.0,0.254,0.245,0.191,0.185,0.242,82.8,84.19,82.66,84.1,83.39,84.77,82.67,84.17,89.78,90.45,84.31,84.97,90.35,90.94,79.05,91.64,14.3,12.0,128.3,0.0,82.71,84.27,9.0,7.9,0.0,0.0,0.0,2.3,191.77,10.1,79.5,35.773,14.471,0.003,13.8,486.231,5,0.0,15.873,0.0,0.02,0.07,0.02,97.0,17.5,78.4,37.9,10.6,104.4,10.9,573.2,10.2,11.0,11.0,0.0,0.0,23.0,82.7,35.0,57.9,54.0,0.1,0.1,54.6,0.0,1179.0,0.53,0.0,0.0,1.0,0.0,0.0
1,217.0,42,27,-20.0,1739.0,1566.0,619.0,3.5,7.3,3.9,0.35,0.29,0.45,-30.0,168.0,167.0,128.0,26.7,4506,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,851.6,871.3,472.2,6.0,0.0,11.4,0.0,3637.0,0.04,8366.0,8319.0,8.2,0.046,0.0,0.01,0.0,0.01,0.05,0.0,0.3,0.0,0.04,29.0,8347.0,13.8,-8.6,86.1,278.6,22.0,22.2,7.8,21.55,1.9,0.262,0.259,0.195,0.185,0.257,86.21,86.28,86.02,86.19,89.88,89.82,86.05,86.24,86.93,87.33,86.34,89.94,89.57,89.64,79.54,93.34,14.6,-3.0,132.3,0.0,86.1,86.34,-9.9,-10.7,0.0,0.0,0.0,1.0,198.87,9.2,74.5,39.193,14.699,0.003,13.8,550.099,5,0.0,16.482,0.0,0.07,0.02,0.04,111.0,18.3,81.1,21.4,-8.9,90.4,-7.8,548.5,-7.2,-7.2,-8.0,0.0,0.0,8.0,67.0,34.9,41.2,36.0,0.2,0.5,50.8,0.0,1302.0,0.51,0.0,0.0,1.0,0.0,0.0
2,217.0,42,27,-20.0,1739.0,1566.0,619.0,3.4,7.3,4.3,0.4,0.36,0.54,-30.0,168.0,167.0,128.0,26.7,4506,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,852.8,871.5,472.8,6.0,0.0,10.6,0.0,3655.0,0.03,8180.0,8134.0,6.5,0.042,0.0,0.02,0.01,0.02,0.06,0.0,0.0,0.0,0.04,22.0,8347.0,13.7,-7.4,83.6,292.5,20.1,20.2,8.0,6.93,2.6,0.262,0.259,0.195,0.185,0.257,86.34,86.4,86.03,86.19,90.02,89.94,86.05,86.24,86.93,87.33,86.46,90.05,89.72,89.79,79.63,93.52,14.5,-4.0,131.2,0.0,86.22,86.45,-9.9,-10.7,0.0,0.0,0.0,2.5,196.3,9.2,75.9,39.275,14.57,0.002,13.8,554.887,5,0.0,16.38,0.0,0.03,0.07,0.05,111.8,18.4,81.6,21.4,-8.6,91.1,-7.5,552.5,-7.2,-7.2,-8.0,0.0,0.0,7.0,67.1,34.9,39.6,36.0,0.1,0.1,49.6,0.0,1303.0,0.51,0.0,0.0,1.0,0.0,0.0
1,1045.0,42,34,-20.0,1672.0,1529.0,954.0,3.5,7.3,3.7,0.32,0.3,0.43,-30.0,160.0,159.0,126.0,28.4,9020,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,826.3,837.4,455.9,16.0,0.0,11.2,0.0,3298.0,0.05,7643.0,7607.0,8.3,0.037,0.0,0.05,0.01,0.01,0.05,0.0,0.2,0.0,0.04,29.0,8057.0,13.8,-8.4,85.1,275.7,21.8,22.2,7.8,18.85,1.8,0.25,0.246,0.194,0.183,0.242,83.93,83.77,83.73,83.7,87.24,87.0,83.76,83.75,88.38,88.39,84.0,87.32,88.74,88.78,78.93,92.28,71.2,-1.0,131.3,0.0,83.79,83.85,-8.3,-9.1,0.0,0.0,0.0,0.9,192.75,9.9,78.1,38.344,14.67,0.004,13.9,515.843,5,0.0,16.218,0.0,0.06,0.04,0.05,103.5,17.9,77.6,20.8,-7.3,89.1,-6.4,534.7,-6.2,-6.0,-6.4,0.0,0.0,11.0,72.0,34.9,43.1,0.0,0.2,0.4,52.3,0.0,1252.0,0.01,0.0,1.0,0.0,0.0,0.0
2,1045.0,42,34,-20.0,1672.0,1529.0,954.0,3.4,7.3,4.1,0.27,0.38,0.47,-30.0,160.0,159.0,126.0,28.4,9020,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,824.8,834.5,454.2,16.0,0.0,10.4,0.0,3308.0,0.02,7464.0,7430.0,6.7,0.035,0.0,0.02,0.01,0.01,0.02,0.0,0.0,0.0,0.04,22.0,8057.0,13.6,-7.7,83.6,289.3,19.1,19.6,8.0,0.27,3.0,0.25,0.246,0.194,0.183,0.242,84.04,83.88,83.75,83.72,87.36,87.12,83.76,83.75,88.38,88.39,84.14,87.46,88.91,88.98,79.07,92.46,73.5,0.0,130.5,0.0,83.92,83.9,-8.3,-9.1,0.0,0.0,0.0,2.4,187.07,10.3,80.2,38.4,14.511,0.001,13.9,521.168,5,0.0,16.119,0.0,0.03,0.09,0.03,104.4,18.0,78.4,20.9,-7.5,89.7,-6.6,538.4,-6.2,-6.0,-6.4,0.0,0.0,11.0,73.2,34.9,42.5,0.0,0.1,0.1,50.6,0.0,1253.0,0.03,0.0,1.0,0.0,0.0,0.0
1,1046.0,36,42,-20.0,934.0,780.0,-68.0,3.6,7.3,3.6,0.27,0.34,0.44,-30.0,143.0,142.0,125.0,20.8,10520,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,789.5,810.1,460.8,18.0,0.0,11.1,0.0,2749.0,0.05,6374.0,6420.0,8.2,0.027,0.0,0.04,0.0,0.0,0.01,0.0,0.1,0.02,0.04,29.0,6604.0,14.1,-8.2,82.6,242.4,32.3,31.5,7.6,9.72,9.3,0.22,0.219,0.189,0.181,0.216,78.09,79.08,78.14,79.1,79.56,80.43,78.17,79.2,89.59,90.2,79.23,80.6,87.68,88.14,78.56,89.71,14.8,6.0,129.7,0.0,78.11,79.22,2.6,2.9,0.0,0.0,0.0,0.8,184.39,10.6,81.2,33.47,15.005,0.001,14.2,441.237,5,0.0,16.118,0.0,0.07,0.07,0.04,88.3,17.3,75.6,28.8,4.1,86.3,5.1,526.9,5.2,5.4,4.4,0.0,0.0,16.0,75.6,35.0,51.0,31.0,0.2,0.2,56.0,0.0,1148.0,0.01,0.0,0.0,0.0,0.0,0.0
2,1046.0,36,42,-20.0,934.0,780.0,-68.0,3.5,7.3,4.0,0.24,0.33,0.41,-30.0,143.0,142.0,125.0,20.8,10520,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,786.5,806.3,459.1,18.0,0.0,10.2,0.0,2738.0,0.01,6183.0,6199.0,6.7,0.025,0.0,0.05,0.01,0.01,0.04,0.0,0.0,0.02,0.03,21.0,6604.0,13.9,-8.5,80.3,252.4,32.1,31.4,7.9,56.57,2.7,0.22,0.219,0.189,0.182,0.216,78.15,79.14,78.15,79.11,79.62,80.48,78.17,79.2,89.59,90.2,79.26,80.64,87.84,88.26,78.77,89.82,14.7,6.0,129.4,0.0,78.17,79.25,2.6,2.9,0.0,0.0,0.0,2.4,178.57,10.7,82.4,33.033,14.875,0.001,14.2,443.174,5,0.0,16.038,0.0,0.02,0.1,0.0,88.5,17.3,76.8,28.8,4.3,85.3,5.4,528.8,5.2,5.4,4.4,0.0,0.0,16.0,76.0,34.9,49.3,31.0,0.0,0.2,54.8,0.0,1148.0,0.03,0.0,0.0,0.0,0.0,0.0
